id,university,department,score
4334,SAGLIK BILIMLERI UNIVERSITESI,Acil Yardim ve Afet Yonetimi,292.18
4441,CANAKKALE ONSEKIZ MART UNIVERSITESI,Acil Yardim ve Afet Yonetimi,287.88
4870,HATAY MUSTAFA KEMAL UNIVERSITESI,Acil Yardim ve Afet Yonetimi,271.01
4987,SELCUK UNIVERSITESI,Acil Yardim ve Afet Yonetimi,266.88
5043,MALATYA TURGUT OZAL UNIVERSITESI,Acil Yardim ve Afet Yonetimi,265.08
5066,TEKIRDAG NAMIK KEMAL UNIVERSITESI,Acil Yardim ve Afet Yonetimi,263.88
5104,AKSARAY UNIVERSITESI,Acil Yardim ve Afet Yonetimi,261.93
5188,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Acil Yardim ve Afet Yonetimi,258.59
5249,TOKAT GAZIOSMANPASA UNIVERSITESI,Acil Yardim ve Afet Yonetimi,256.21
5262,TRAKYA UNIVERSITESI,Acil Yardim ve Afet Yonetimi,255.52
5291,TRABZON UNIVERSITESI,Acil Yardim ve Afet Yonetimi,254.57
5332,ERZURUM TEKNIK UNIVERSITESI,Acil Yardim ve Afet Yonetimi,252.95
5451,ARTVIN CORUH UNIVERSITESI,Acil Yardim ve Afet Yonetimi,249.34
5501,GUMUSHANE UNIVERSITESI,Acil Yardim ve Afet Yonetimi,247.34
5516,MUNZUR UNIVERSITESI,Acil Yardim ve Afet Yonetimi,246.82
5528,ATATURK UNIVERSITESI,Acil Yardim ve Afet Yonetimi,246.40
5633,BAYBURT UNIVERSITESI,Acil Yardim ve Afet Yonetimi,242.49
5754,ARDAHAN UNIVERSITESI,Acil Yardim ve Afet Yonetimi,238.01
6238,GIRNE AMERIKAN UNIVERSITESI,Acil Yardim ve Afet Yonetimi,196.38
1467,USKUDAR UNIVERSITESI,Adli Bilimler,399.19
3046,KUTAHYA SAGLIK BILIMLERI UNIVERSITESI,Adli Bilimler,339.53
3718,FIRAT UNIVERSITESI,Adli Bilisim Muhendisligi,316.12
4299,GAZI UNIVERSITESI,Agac Isleri Endustri Muhendisligi,293.79
5053,MUGLA SITKI KOCMAN UNIVERSITESI,Agac Isleri Endustri Muhendisligi,264.78
5134,DUZCE UNIVERSITESI,Agac Isleri Endustri Muhendisligi,260.41
4206,HACETTEPE UNIVERSITESI,Aile ve Tuketici Bilimleri,297.83
