id,university,department,score
5501,GUMUSHANE UNIVERSITESI,Acil Yardim ve Afet Yonetimi,247.34
5516,MUNZUR UNIVERSITESI,Acil Yardim ve Afet Yonetimi,246.82
5528,ATATURK UNIVERSITESI,Acil Yardim ve Afet Yonetimi,246.40
5633,BAYBURT UNIVERSITESI,Acil Yardim ve Afet Yonetimi,242.49
5754,ARDAHAN UNIVERSITESI,Acil Yardim ve Afet Yonetimi,238.01
6238,GIRNE AMERIKAN UNIVERSITESI,Acil Yardim ve Afet Yonetimi,196.38
5492,KARABUK UNIVERSITESI,Aktuerya Bilimleri,247.69
5746,DOGU AKDENIZ UNIVERSITESI,Aktuerya Bilimleri,238.39
5813,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Antropoloji,235.58
5949,KIRSEHIR AHI EVRAN UNIVERSITESI,Antropoloji,230.07
6048,HITIT UNIVERSITESI,Antropoloji,225.29
5857,BITLIS EREN UNIVERSITESI,Arap Dili ve Edebiyati,233.63
5899,KAFKAS UNIVERSITESI,Arap Dili ve Edebiyati,232.22
6041,KILIS 7 ARALIK UNIVERSITESI,Arap Dili ve Edebiyati,225.65
5616,KARAMANOGLU MEHMETBEY UNIVERSITESI,Arapca Mutercim ve Tercumanlik,243.15
5928,BINGOL UNIVERSITESI,Arapca Mutercim ve Tercumanlik,230.97
5564,ONDOKUZ MAYIS UNIVERSITESI,Arkeoloji,245.18
5644,TRAKYA UNIVERSITESI,Arkeoloji,242.02
5689,ADIYAMAN UNIVERSITESI,Arkeoloji,240.20
5724,VAN YUZUNCU YIL UNIVERSITESI,Arkeoloji,239.19
5727,DUZCE UNIVERSITESI,Arkeoloji,239.11
5733,KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,Arkeoloji,238.93
5734,SELCUK UNIVERSITESI,Arkeoloji,238.92
5735,OSMANIYE KORKUT ATA UNIVERSITESI,Arkeoloji,238.92
5749,KUTAHYA DUMLUPINAR UNIVERSITESI,Arkeoloji,238.24
5775,SULEYMAN DEMIREL UNIVERSITESI,Arkeoloji,236.90
5874,HATAY MUSTAFA KEMAL UNIVERSITESI,Arkeoloji,233.03
5983,ATATURK UNIVERSITESI,Arkeoloji,228.45
5988,KARABUK UNIVERSITESI,Arkeoloji,228.30
5991,NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,Arkeoloji,228.20
6042,USAK UNIVERSITESI,Arkeoloji,225.62
6043,HITIT UNIVERSITESI,Arkeoloji,225.50
6073,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Arkeoloji,223.59
6079,KIRSEHIR AHI EVRAN UNIVERSITESI,Arkeoloji,223.32
6106,KAFKAS UNIVERSITESI,Arkeoloji,220.90
6218,TRAKYA UNIVERSITESI,Arnavut Dili ve Edebiyati,205.44
6329,SELCUK UNIVERSITESI,Ayakkabi Tasarimi ve Uretimi,154.00
6163,KAFKAS UNIVERSITESI,Azerbaycan Turkcesi ve Edebiyati,216.75
5612,YOZGAT BOZOK UNIVERSITESI,Bahce Bitkileri,243.38
5676,SIIRT UNIVERSITESI,Bahce Bitkileri,240.60
5678,BINGOL UNIVERSITESI,Bahce Bitkileri,240.51
5695,ATATURK UNIVERSITESI,Bahce Bitkileri,240.06
5820,LEFKE AVRUPA UNIVERSITESI,Bahce Bitkileri,235.18
5847,IGDIR UNIVERSITESI,Bahce Bitkileri,234.09
5975,SIRNAK UNIVERSITESI,Bahce Bitkileri,228.89
5737,KARADENIZ TEKNIK UNIVERSITESI,Balikcilik Teknolojisi Muhendisligi,238.81
5915,ORDU UNIVERSITESI,Balikcilik Teknolojisi Muhendisligi,231.60
6217,GIRNE UNIVERSITESI,Balikcilik Teknolojisi Muhendisligi,206.04
5993,ULUSLARARASI BALKAN UNIVERSITESI,Bankacilik ve Finans,228.09
5698,DOGU AKDENIZ UNIVERSITESI,Bankacilik ve Sigortacilik,240.03
5834,TOKAT GAZIOSMANPASA UNIVERSITESI,Bankacilik ve Sigortacilik,234.64
5853,AFYON KOCATEPE UNIVERSITESI,Bankacilik ve Sigortacilik,233.81
5929,KARAMANOGLU MEHMETBEY UNIVERSITESI,Bankacilik ve Sigortacilik,230.96
6100,GIRNE AMERIKAN UNIVERSITESI,Basin ve Yayin,221.53
5999,OSMANIYE KORKUT ATA UNIVERSITESI,Bilgi ve Belge Yonetimi,227.85
6025,KASTAMONU UNIVERSITESI,Bilgi ve Belge Yonetimi,226.37
6050,CANKIRI KARATEKIN UNIVERSITESI,Bilgi ve Belge Yonetimi,225.24
6656,BALIKESIR UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6667,BARTIN UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6670,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6681,VAN YUZUNCU YIL UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6689,CANKIRI KARATEKIN UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6697,TRAKYA UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6702,BURSA TEKNIK UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6415,INONU UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6711,BURSA ULUDAG UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6719,ZONGULDAK BULENT ECEVIT UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6419,ISTANBUL MEDENIYET UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6723,YOZGAT BOZOK UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6724,CANAKKALE ONSEKIZ MART UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6728,NECMETTIN ERBAKAN UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6732,KUTAHYA DUMLUPINAR UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6735,KARAMANOGLU MEHMETBEY UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6432,KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6435,ERZINCAN BINALI YILDIRIM UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6745,MARDIN ARTUKLU UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6441,ISKENDERUN TEKNIK UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6760,KAYSERI UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6453,FIRAT UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6769,KIRIKKALE UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6772,MALATYA TURGUT OZAL UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6773,KUTAHYA SAGLIK BILIMLERI UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6780,KASTAMONU UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6460,IZMIR BAKIRCAY UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6803,MUNZUR UNIVERSITESI,Bilgisayar Muhendisligi,144.00
